,STATE,CITY
3467,tx,
3470,fl,
3472,ny,new york
3473,tx,
3483,tx,
3484,fl,
3485,wa,washington
3487,fl,
3489,ca,san francisco
3497,ca,san francisco
3501,ca,
3502,ca,
3503,ca,
3505,ca,
3507,ca,
3521,ca,
3549,ca,san francisco
3557,tx,houston
3568,tx,houston
3574,ny,new york
3578,tx,dallas
3580,ca,
3588,nv,las vegas
3604,nc,
3614,il,chicago
3617,fl,
3618,fl,
3619,ca,san francisco
3620,wa,washington
3644,ok,
3654,ca,
3665,wi,milwaukee
3673,ny,new york
3678,ny,new york
3683,ca,
3706,ca,
3715,az,
3738,ca,
3740,nc,
3746,fl,jacksonville
3753,fl,
3755,ca,san francisco
3757,fl,
3758,wa,washington
3762,ma,boston
3771,ia,
3775,ca,san francisco
3783,ny,new york
3789,nv,las vegas
3794,il,
3813,ny,new york
3816,tx,
3828,ny,new york
3836,ga,
3840,nm,
3855,ca,
3856,ga,
3865,ny,new york
3877,ma,boston
3886,nm,
3888,ny,new york
3895,fl,
3908,mi,
3930,fl,
3931,fl,
3933,ca,san francisco
3934,wa,washington
3958,ca,
3959,ca,
3960,ca,
3961,ca,
3963,ca,
3964,az,
3971,ny,new york
3974,ca,
3997,ca,san francisco
4013,ca,los angeles
4015,mi,detroit
4028,nv,las vegas
4029,nv,las vegas
4030,nv,las vegas
4031,nv,las vegas
4032,nv,las vegas
4033,nv,las vegas
4034,nv,las vegas
4043,va,
4045,tx,fort worth
4052,ca,los angeles
4053,ca,los angeles
4057,mo,
4062,al,
4067,ca,
4072,pa,
4077,ma,
4082,ca,los angeles
4087,az,
4094,fl,
4096,wa,washington
4097,fl,
4098,ca,san francisco
4101,tx,austin
4110,oh,
4117,ca,san francisco
4120,ca,san francisco
4123,ga,
4136,ca,
4138,fl,
4139,la,los angeles
4144,fl,
4187,va,
4201,tx,
4222,wa,
4229,tx,houston
4234,ma,boston
4242,ri,
4243,ri,
4247,az,phoenix
4252,ny,new york
4255,ca,san francisco
4256,fl,
4257,wa,washington
4259,fl,
4262,ca,
4263,ca,san diego
4272,co,
4279,tn,
4295,ca,san diego
4296,ca,
4304,tx,dallas
4306,ca,
4325,ca,san francisco
4333,wa,washington
4335,co,denver
4344,co,denver
4347,ma,
4364,ca,
4368,tx,austin
4384,ny,new york
4392,il,chicago
4416,tn,
4420,ma,
4429,ca,san francisco
4432,wa,washington
4433,fl,
4434,fl,
4437,ca,
4453,nj,
4454,ca,
4455,ca,
4456,ca,
4457,ca,
4459,ca,
4466,la,
4470,il,chicago
4518,ca,
4525,az,
4541,ca,san francisco
4553,ca,los angeles
4610,il,chicago
4611,ca,
4619,fl,
4626,ca,
4632,ca,
4644,nj,
4646,ma,boston
4691,ca,
4700,ny,new york
4749,wa,washington
4750,fl,
4751,ca,san francisco
4752,fl,
4773,az,
4782,fl,
4795,ca,san francisco
4800,oh,
4814,ca,
4823,il,chicago
4832,tn,
4834,ga,
4859,ca,los angeles
4866,wa,washington
4882,il,
4885,or,
4902,ny,new york
4909,ca,
4914,ca,los angeles
4922,mi,
4923,ny,new york
4924,nv,las vegas
4925,wi,
4932,fl,
4935,ny,new york
4936,ny,new york
4955,ny,new york
4969,ny,new york
4988,il,chicago
4991,wa,washington
5008,ca,san francisco
5009,fl,
5010,fl,
5012,nv,las vegas
5013,az,
5016,ca,san diego
5018,wa,washington
5027,ca,
5028,mo,
5033,fl,
5034,fl,
5035,ca,san francisco
5041,fl,
5042,ny,new york
5043,il,chicago
5052,il,chicago
5054,co,
5056,fl,
5063,ca,
5072,il,chicago
5077,ma,boston
5080,ca,san francisco
5082,ca,
5093,fl,
5109,ca,
5113,mn,
5117,fl,
5121,ri,
5124,ca,san diego
5125,ri,
5130,ca,los angeles
5131,ny,
5132,az,
5138,ca,san francisco
5182,co,denver
5198,ga,
5204,wa,washington
5205,ct,
5213,ca,
5214,ca,
5216,ca,
5217,ca,
5219,ca,
5227,ct,
5230,ny,new york
5271,oh,columbus
5276,fl,
5280,ca,los angeles
5282,ma,boston
5292,wa,washington
5297,ca,san francisco
5299,ct,
5307,il,
5321,ny,new york
5336,ca,
5341,ca,
5343,ca,
5345,az,phoenix
5348,ca,
5354,az,
5358,ca,
5364,ca,los angeles
5365,ca,
5377,ca,
5394,ny,new york
5413,ny,new york
5419,ca,
5435,tx,
5439,az,
5442,il,chicago
5443,ca,
5446,ri,
5457,az,
5458,ca,
5460,az,
5483,nj,
5486,ma,boston
5488,il,chicago
5499,ct,
5500,mi,detroit
5502,fl,
5504,nv,las vegas
5512,ny,new york
5515,tx,houston
5519,ca,
5521,wa,washington
5526,ny,new york
5533,ca,
5535,ca,
5536,oh,
5539,ca,san francisco
5555,ca,san jose
5571,hi,
5573,ut,
5576,or,
5589,ca,san jose
5592,ny,new york
5600,ca,los angeles
5615,ma,boston
5616,ny,new york
5619,ri,
5630,ga,
5632,ri,
5633,ca,san francisco
5634,ca,
5644,ca,los angeles
5645,ca,los angeles
5656,ca,
5661,tx,
5663,mo,
5664,fl,
5679,wa,washington
5680,ny,new york
5685,ca,
5686,ca,
5687,tx,
5695,ca,los angeles
5696,ca,los angeles
